Title,Calories,Proteins,Fats,Carbohydrates
антилопа,114,22.38,02.03,0
антилопа запеченная,150,29.45,2.67,0
баранина 1 категории,209,15.6,16.3,0
баранина 2 категории,166,19.8,9.6,0
баранина голяшка,201,18.58,13.49,0
баранина голяшка запеченная,225,26.41,12.45,0
баранина голяшка только мясо,125,20.52,4.19,0
баранина грудинка мякоть,288,14,25.8,0
баранина корейка,310,16.32,26.63,0
баранина корейка мякоть,255,15.9,21.5,0
баранина корейка жаренная на открытом огне,316,25.17,23.08,0
баранина ребра,372,14.52,34.39,0
баранина шейная часть,208,15.4,16.3,0
белка,120,21.23,3.21,0
белка запеченная,173,30.77,4.69,0
бизон мякоть плечевой части только мясо,119,21.12,3.15,0
бизон мякоть плечевой части только мясо,109,21.1,2.1,0
бизон мякоть плечевой части только мясо тушеная,193,33.78,5.43,0
бизон стейк из верхней части бедра только мясо,122,23.32,2.43,0
бизон стейк из верхней части бедра только мясо жаренный на открытом огне,174,30.18,4.96,0
бизон стейк из верхней части оковалка только мясо жаренный на открытом огне,171,28.05,5.65,0
бизон стейк из рибая реберная сердцевина глазок только мясо,116,22.1,2.4,0
бизон стейк из рибая реберная сердцевина глазок только мясо жареный на открытом огне,177,29.45,5.67,0
бизон только мясо,109,21.62,1.84,0
бизон только мясо запеченное,143,28.44,2.42,0
бобер,146,24.05,4.8,0
бобер запеченный,212,34.85,6.96,0
буйвол стейк из верхней части бедра шошонибаннок,97,21.44,1.3,0
буйвол стейк из верхней части бедра приготовленный шошонибаннок,146,32.51,1.8,0
буйволятина 1 категории,195,19,13.2,0
буйволятина 2 категории,135,20.8,5.8,0
буффало гибрид бизона и коровы мясной набор,143,23.3,4.8,0
буффало гибрид бизона и коровы мясной набор запеченный,188,30.66,6.32,0
верблюжатина 1 категории,160,18.9,9.4,0
водяной буйвол,99,20.39,1.37,0
водяной буйвол запеченный,131,26.83,1.8,0
глаза оленя карибу аляска,326,10.8,31.4,0
голяшка баранина мясо и жир обрезь до 1/8 жира жаренная,217,26.73,11.4,0
голяшка баранина мясо и жир обрезь до 1/8 жира сырая,185,18.99,11.5,0
гуляш бараний консервы,213,14.2,15.6,3.9
енот запеченный,255,29.2,14.5,0
жир бараний приготовленный австралия,639,9.42,66.4,0
жир бараний сырой австралия,648,6.27,68.87,0
завтрак туриста баранина консервы,210,18,15.2,0.2
кабан,122,21.51,3.33,0
кабан запеченный,160,28.3,4.38,0
карибу канадский олень,127,22.63,3.36,0
карибу канадский олень запеченный,167,29.77,4.42,0
карибу костный мозг аляска,786,6.7,84.4,0
карибу мясо задней четвертины приготовленное аляска,159,28.81,4.82,0
карибу огузок кострец наполовину высушенный аляска,255,52.06,5.23,0
карибу окорок аляска,122,22.63,3.37,0
козлятина,109,20.6,2.31,0
козлятина запеченная,143,27.1,03.03,0
конина,133,21.39,4.6,0
конина 1 кат,167,19.5,9.9,0
конина 2 кат,121,20.9,4.1,0
конина тушеная консервы,150,18.7,8.4,0
конина запеченная,175,28.14,06.05,0
котлеты отбивные из баранины по 1416,394,20.6,30.6,9.1
котлеты рубленые из баранины по 1442,240,13.6,14.8,12.9
кролик жареный по 218,241,31.5,12.7,0.1
кролик отварной по 26,194,25.5,10.4,0
кролик дикий,114,21.79,2.32,0
кролик дикий тушеный,173,33.02,3.51,0
легкое баранье,83,15.6,2.3,0
легкое баранье,95,16.7,2.6,0
легкое баранье тушеное,113,19.88,3.1,0
лось,111,22.95,1.45,0
лось вырезка только мясо жаренный на открытом огне,162,30.76,3.41,0
лось запеченный,146,30.19,1.9,0
лось корейка только мясо жаренный на открытом огне,167,31,3.84,0
лось тазобедренный отруб только мясо жаренный на открытом огне,156,30.94,2.64,0
медведь,161,20.1,8.3,0
медведь полярный белый аляска,130,25.6,3.1,0
